Speed,Distance
0.008733612,117.3050418
0.015341763,217.00692
0.016225609,230.9607871
0.005281309,85.28526241
0.012947439,185.0512017
0.013886161,212.8405807
0.011183732,151.7275318
0.006008497,82.61206655
0.008382281,104.0286922
0.008120775,124.7777183
0.015304668,205.7759873
0.009382318,128.8390613
0.00501111,64.38809187
0.004732331,61.40301261
0.009359325,131.7798909
0.007518669,102.7150621
0.00734331,98.56939149
0.007982512,118.4274597
0.015006067,221.982879
0.007453982,105.1717288
0.004649465,66.1200728
0.010950738,155.6353075
0.014966213,188.9740432
0.006738446,93.45330641
0.011036578,145.9497714
0.005003555,63.60396982
0.005128943,70.02730838
0.008430719,134.8780199
0.006681115,98.80009774
0.005043103,68.58975588
0.007114914,104.0180106
0.011176681,168.595751
0.005905796,97.84141984
0.005397193,73.91952018
0.00966559,139.8793982
0.00721547,108.1234308
0.005132929,63.17504508
0.016465961,197.3729803
0.005208958,75.11978936
0.008542618,104.3940306
0.005264754,71.14334673
0.009183353,156.4773799
0.005076519,73.92081754
0.004598574,68.03004797
0.016677496,245.9727984
0.012048264,184.8753474
0.017873125,254.9916936
0.009473063,153.4244503
0.012446808,187.5542998
0.004659889,63.58883373
0.006867204,97.59272406
0.004905146,68.36016129
0.011097892,157.5339345
0.005303689,70.78593284
0.009565034,133.4633289
0.006775233,96.00855906
0.004905146,58.19983824
0.007633633,91.35691284
0.00928912,133.552576
0.008675977,127.0732071
0.004659889,71.06797793
0.010576721,156.9093766
0.011036578,136.7262607
0.007602976,112.5214971
0.008951891,157.9477185
0.004997117,77.74108228
0.005732889,102.2492119
0.005978146,89.40922615
0.007848233,137.0706141
0.010331463,147.4818794
0.01673881,209.8513188
0.007357719,108.4518977
0.010300806,158.8835409
0.010454092,147.3604502
0.008001519,118.0547749
0.006468661,85.5349584
0.009840949,151.0771956
0.006775233,96.47745095
0.010239492,149.9643606
0.010454092,154.3505453
0.012906665,190.5868822
0.017658525,260.6461602
0.006284718,83.84091588
0.012324179,188.3244101
0.007970862,119.1951667
0.007940205,121.11383
0.007327062,101.6236592
0.019957812,289.2931561
0.00702049,109.4897423
0.009657006,134.9668987
0.00659129,96.94987772
0.007817576,139.3267887
0.009963577,145.4180387
0.009442406,133.5968326
0.010024892,165.5135077
0.012967979,189.917585
0.004690546,87.38505135
0.007143119,94.71652038
0.015052666,221.833523
0.013029294,153.3276088
0.005886175,88.58000292
0.009442406,143.1618325
0.006499318,93.20235933
0.008492034,138.3568783
0.010270149,156.5908955
0.00637669,91.01045239
0.005303689,70.14766333
0.011036578,169.5351568
0.007143119,109.5649094
0.018057068,264.4414334
0.017873125,258.0225303
0.009840949,134.7768701
0.016003038,216.2036004
0.009442406,131.4319176
0.010086206,154.2956593
0.007051147,103.3067029
0.004598574,75.15442579
0.009840949,149.3043176
0.019712555,272.3331087
0.009810292,146.3316496
0.006407347,87.21269357
0.006713918,93.2820531
0.009810292,131.1292161
0.004629231,80.38500769
0.005886175,79.1247711
0.008154805,116.0643164
0.01155775,144.2257767
0.007572319,96.10335859
0.007419033,109.1129045
0.011220521,156.4077004
0.00702049,106.592148
0.009565034,150.1660345
0.004598574,66.41744929
0.010454092,142.5919318
0.007694948,97.64613264
0.005794203,74.97911879
0.009136489,124.2179455
0.009851377,119.0215432
0.008451789,124.4785047
0.014398852,199.0135695
0.00561493,74.87743864
0.007414526,102.4388879
0.004606865,61.66493818
0.008705416,128.7151579
0.013788571,204.210977
0.010089999,156.1602169
0.006246312,85.36675428
0.007042308,106.3595742
0.008218939,112.7275603
0.005497222,74.12487953
0.014835673,217.3536194
0.017377511,247.0157319
0.019578915,290.5282194
0.013402977,189.3708825
0.01895709,266.8080299
0.020368714,298.1405244
